Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-171,-3,0.2757,0.1784,0.3329,0.4085,-0.1154,0.6617,-0.3176,0.6194,0.653,0.6848,0.4475,0.0188,0.0729,0.9173,0.7708,0.5201,0.2475,0.12,0.2811,0.8426,0.6636
-171,-7,0.1414,0.0763,0.2479,0.2304,-0.0178,0.4793,-0.1885,0.4313,0.4868,0.5871,0.2635,0.0482,0.0612,0.7517,0.548,0.4546,0.1502,-0.0252,0.3023,0.7104,0.7141
-171,-11,-0.1293,-0.0796,0.029,-0.0337,-0.12,0.0308,-0.2434,0.1834,0.249,0.4676,-0.0749,-0.0723,0.0608,0.6543,0.4493,0.4486,0.0818,0.0093,0.2274,0.5523,0.6077
-171,19,-0.1558,-0.1394,0.1438,-0.374,-0.1129,-0.08,0.1928,-0.1324,-0.2546,0.0704,0.1881,-0.3755,0.0508,0.2503,0.3516,0.2192,0.1541,-0.0141,0.0692,0.4902,0.4515
-171,47,-0.3253,-0.1789,-0.095,-0.0763,0.2317,-0.1279,-0.1848,0.5066,0.1743,0.4898,1.2772,0.1996,0.0241,-0.1252,0.5377,0.5165,0.6891,0.4172,0.6063,0.7586,0.1541
-171,9,-0.1057,0.2337,0.3025,0.0673,-0.0717,0.3829,0.1133,0.5707,0.3721,0.4834,0.4927,-0.2262,-0.0096,0.4363,0.4567,0.277,0.0314,-0.0706,0.0875,0.7479,0.5728
-171,7,0.0818,0.2215,0.4073,0.2343,-0.0993,0.4914,0.0037,0.7452,0.5271,0.6007,0.4611,-0.2499,-0.0281,0.6159,0.5731,0.3058,0.051,-0.1007,0.1097,0.8601,0.5677
-171,11,-0.2411,0.1825,0.1721,-0.0351,-0.1423,0.3004,0.1166,0.4063,0.2214,0.3529,0.4803,-0.3327,-0.0856,0.2954,0.3595,0.2143,-0.025,-0.1376,0.0349,0.6983,0.4783
-171,5,0.2308,0.1898,0.4404,0.4022,-0.2584,0.6115,-0.215,0.8834,0.679,0.6675,0.3939,-0.4094,-0.1445,0.8105,0.6645,0.2958,0.018,-0.2177,0.0899,1.0171,0.4606
-171,-5,0.2397,0.0451,0.2456,0.2611,-0.1477,0.5952,-0.3272,0.4388,0.5558,0.6019,0.2574,-0.1684,-0.1522,0.7717,0.5824,0.3852,-0.0042,-0.2084,0.1779,0.7924,0.6375
-171,13,-0.2015,0.0934,0.0875,-0.0469,-0.2148,0.2275,0.0806,0.2682,0.0574,0.2275,0.436,-0.4488,-0.1866,0.2208,0.3086,0.142,-0.0979,-0.2231,-0.0108,0.6808,0.385
